,Product Name,Brand,Ram,Storage,Battery,Screen_size,Rear_Camera,Front_Camera,Rating,Rating_Category,Rating_Count,Review_Count,Total_Engagements,Offer,Price,Price_Range
62,POCO M7 5G,POCO,8,128 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3903,249,4152,25,10499,10K-15K
63,POCO M6 5G,POCO,4,128 ,5000,6.74,50MP Rear Camera,5MP,4.2,Very Good,149791,7434,157225,19,10499,10K-15K
64,REDMI 14C 5G,REDMI,4,128 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3475,212,3687,25,10499,10K-15K
65,vivo Y19 5G,vivo,4,64 ,5500,6.74,13MP + 0.08MP,5MP,4.3,Very Good,725,34,759,25,10499,10K-15K
66,REDMI 14C 5G,REDMI,4,128 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3475,212,3687,25,10499,10K-15K
67,POCO M7 5G,POCO,8,128 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3903,249,4152,25,10499,10K-15K
68,POCO M7 5G,POCO,8,128 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3903,249,4152,25,10499,10K-15K
69,REDMI 14C 5G,REDMI,4,128 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3475,212,3687,23,10747,10K-15K
70,REDMI 14C 5G,REDMI,4,128 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3475,212,3687,23,10747,10K-15K
71,REDMI 12 5G,REDMI,4,128 ,5000,6.79,50MP + 2MP,8MP,4.3,Very Good,12918,594,13512,31,10971,10K-15K
72,Samsung Galaxy F14 5G,Samsung,4,128 ,6000,6.6,50MP + 2MP,13MP,4.2,Very Good,48682,3102,51784,37,10990,10K-15K
73,Motorola g45 5G,Motorola,4,128 ,5000,6.5,50MP + 2MP,16MP,4.3,Very Good,45149,2836,47985,15,10999,10K-15K
74,Motorola G34 5G,Motorola,4,128 ,5000,6.5,50MP + 2MP,16MP,4.2,Very Good,49964,3620,53584,21,10999,10K-15K
75,Samsung Galaxy F06 5G,Samsung,6,128 ,5000,6.7,50MP + 2MP,8MP,4.1,Very Good,6107,468,6575,29,10999,10K-15K
76,Motorola g45 5G,Motorola,4,128 ,5000,6.5,50MP + 2MP,16MP,4.3,Very Good,45149,2836,47985,15,10999,10K-15K
77,realme C63 5G Charger in the Box,realme,6,128 ,5000,6.67,32MP Rear Camera,8MP,4.5,Very Good,21997,664,22661,21,10999,10K-15K
78,Samsung Galaxy F06 5G,Samsung,6,128 ,5000,6.7,50MP + 2MP,8MP,4.1,Very Good,6107,468,6575,29,10999,10K-15K
79,Motorola g45 5G,Motorola,4,128 ,5000,6.5,50MP + 2MP,16MP,4.3,Very Good,45149,2836,47985,15,10999,10K-15K
80,Motorola g45 5G,Motorola,4,128 ,5000,6.5,50MP + 2MP,16MP,4.3,Very Good,45149,2836,47985,15,10999,10K-15K
81,realme C63 5G Charger in the Box,realme,4,128 ,5000,6.67,32MP Rear Camera,8MP,4.4,Very Good,6540,263,6803,15,10999,10K-15K
82,realme C63 5G Charger in the Box,realme,4,128 ,5000,6.67,32MP Rear Camera,8MP,4.4,Very Good,6540,263,6803,15,10999,10K-15K
